144;2N;GEV;ARN;;0;ATP
145;2N;GEV;KRF;;0;ATP
146;2N;HAD;ARN;;0;SF3ATP
147;2N;HAD;JKG;;0;ATPSF3
148;2N;HAD;VXO;;0;SF3
149;2N;HMV;VHM;;0;SF3
150;2N;JKG;ARN;;0;ATPSF3
151;2N;JKG;HAD;;0;ATPSF3
152;2N;KOK;POR;;0;SF3
153;2N;KRF;ARN;;0;ATP
154;2N;KRF;GEV;;0;ATP
155;2N;KSD;ARN;;0;SF3
156;2N;LYC;AJR;;0;ATP
157;2N;LYC;ARN;;0;ATP
158;2N;MHQ;ARN;;0;SF3
159;2N;MHQ;TKU;;0;SF3
160;2N;OER;ARN;;0;ATR
161;2N;OSL;VXO;;0;SF3
162;2N;POR;ARN;;0;SF3
163;2N;POR;KOK;;0;SF3
164;2N;TKU;MHQ;;0;SF3
165;2N;TRF;ARN;;0;SF3
166;2N;VBY;ARN;;0;SF3ATP
167;2N;VHM;ARN;;0;SF3
168;2N;VHM;HMV;;0;SF3
169;2N;VXO;ARN;;0;SF3
170;2N;VXO;OSL;;0;SF3
171;2O;ADQ;AOS;;0;BNI
172;2O;ADQ;KKB;;0;BNI
173;2O;ADQ;KLN;;0;BNI
174;2O;ADQ;KOZ;;0;BNI
175;2O;ADQ;OLH;;0;BNI
176;2O;AOS;KZB;;0;BNI
177;2O;KKB;SYB;;0;BNI
178;2O;KLN;KYK;;0;BNI
179;2O;KOZ;ORI;;0;BNI
180;2O;SYB;KPR;;0;BNI
181;2P;BSO;MNL;;0;DH4
182;2P;BXU;MNL;;0;320
183;2P;CBO;MNL;;0;320
184;2P;CGY;MNL;;0;320
185;2P;CRM;MNL;;0;DH4
186;2P;DGT;MNL;;0;320
187;2P;DWC;MNL;;0;330
188;2P;GES;MNL;*;0;320
189;2P;KLO;MNL;;0;320
190;2P;KLO;MNL;*;0;320
191;2P;LGP;MNL;;0;320
192;2P;MNL;BSO;;0;DH4
193;2P;MNL;BXU;;0;320
194;2P;MNL;CBO;;0;320
195;2P;MNL;CGY;;0;320
196;2P;MNL;CRM;;0;DH4
197;2P;MNL;DGT;;0;320
198;2P;MNL;DWC;;0;330
199;2P;MNL;GES;*;0;320
200;2P;MNL;KLO;;0;320
201;2P;MNL;KLO;*;0;320
202;2P;MNL;LGP;;0;320
203;2P;MNL;MPH;;0;DH3
204;2P;MNL;OZC;;0;320
205;2P;MNL;PPS;;0;320
206;2P;MNL;RXS;;0;320
207;2P;MNL;SUG;;0;DH4
208;2P;MNL;TUG;;0;DH4
209;2P;MNL;ZAM;;0;320
210;2P;MPH;MNL;;0;DH3
211;2P;OZC;MNL;;0;320
212;2P;PPS;MNL;;0;320
213;2P;RXS;MNL;;0;320
214;2P;SUG;MNL;;0;DH4
215;2P;TUG;MNL;;0;DH4
216;2P;ZAM;MNL;;0;320
217;2Z;AUX;PMW;;0;AT7
218;2Z;BRA;BSB;;0;AT7
219;2Z;BRA;SSA;;0;AT7
220;2Z;BSB;BRA;;0;AT7
221;2Z;BSB;OPS;;0;AT7
222;2Z;BSB;RAO;;0;AT7
223;2Z;CAC;GRU;;0;AT7
224;2Z;CGB;GYN;;0;AT7
225;2Z;CGB;OPS;;0;AT7
226;2Z;CGR;DOU;;0;AT7
227;2Z;DOU;CGR;;0;AT7
228;2Z;DOU;GRU;;0;AT7
229;2Z;GIG;RAO;;0;AT7
230;2Z;GRU;CAC;;0;AT7
231;2Z;GRU;DOU;;0;AT7
232;2Z;GRU;RAO;;0;AT7
233;2Z;GRU;UBA;;0;AT7
234;2Z;GRU;UDI;;0;AT7
235;2Z;GRU;VDC;;0;AT7
236;2Z;GYN;CGB;;0;AT7
237;2Z;GYN;PMW;;0;AT7
238;2Z;GYN;RAO;;0;AT7
239;2Z;GYN;UDI;;0;AT7
240;2Z;OPS;BSB;;0;AT7
241;2Z;OPS;CGB;;0;AT7
242;2Z;PLU;RAO;;0;AT7
243;2Z;PMW;AUX;;0;AT7
244;2Z;PMW;GYN;;0;AT7
245;2Z;RAO;BSB;;0;AT7
246;2Z;RAO;GIG;;0;AT7
247;2Z;RAO;GRU;;0;AT7
248;2Z;RAO;GYN;;0;AT7
249;2Z;RAO;PLU;;0;AT7
250;2Z;RAO;SJP;;0;AT7
251;2Z;RAO;UDI;;0;AT7
252;2Z;SJP;RAO;;0;AT7
253;2Z;SSA;BRA;;0;AT7
254;2Z;SSA;VDC;;0;AT7
255;2Z;UBA;GRU;;0;AT7
256;2Z;UBA;UDI;;0;AT7
257;2Z;UDI;GRU;;0;AT7
258;2Z;UDI;GYN;;0;AT7
259;2Z;UDI;RAO;;0;AT7
260;2Z;UDI;UBA;;0;AT7
261;2Z;VDC;GRU;;0;AT7
262;2Z;VDC;SSA;;0;AT7
263;3E;BRL;ORD;;0;CNC
264;3E;BRL;STL;;0;CNC
265;3E;DEC;ORD;;0;CNC
266;3E;DEC;STL;;0;CNC
267;3E;JBR;STL;;0;CNC
268;3E;ORD;BRL;;0;CNC
269;3E;ORD;DEC;;0;CNC
270;3E;STL;BRL;;0;CNC
271;3E;STL;DEC;;0;CNC
272;3E;STL;JBR;;0;CNC
273;3F;CGA;HYL;;0;DHP
274;3F;CGA;KTN;;0;DHP
275;3F;HYL;CGA;;0;DHP
276;3F;HYL;KTB;;0;DHP
277;3F;HYL;KTN;;0;DHP
278;3F;KTB;HYL;;0;DHP
279;3F;KTB;KTN;;0;DHP
